ID;token;organizations;itinerary;lat;lgt;distance;duration;weather;roadtype;traffic;circadian;pause;outlayer;timestamp;reload_weather;reload_roadtype;date
1972120;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62395477294922;6.2000956535339355;4400;264;1;0;1;2;0;0;1627981222;0;0;"2021-08-03 10:25:32"
1972121;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.623451232910156;6.191137790679932;3740;228;1;0;1;2;0;0;1627981186;0;0;"2021-08-03 10:25:32"
1972122;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.626487731933594;6.182151794433594;3020;186;1;0;1;2;0;0;1627981144;0;0;"2021-08-03 10:25:32"
1972123;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62411117553711;6.2016754150390625;4520;270;1;0;1;2;0;0;1627981228;0;0;"2021-08-03 10:25:40"
1972124;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.6232795715332;6.192546367645264;3850;234;1;0;1;2;0;0;1627981192;0;0;"2021-08-03 10:25:41"
1972125;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.625911712646484;6.183387279510498;3130;192;1;1;1;2;0;0;1627981150;0;0;"2021-08-03 10:25:41"
1972126;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62331771850586;6.193977355957031;3960;240;1;0;1;2;0;0;1627981198;0;0;"2021-08-03 10:25:49"
1972127;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.624271392822266;6.203308582305908;4640;276;1;0;1;2;0;0;1627981234;0;0;"2021-08-03 10:25:49"
1972128;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62554168701172;6.2147417068481445;5480;318;1;0;1;2;0;0;1627981276;1;1;"2021-08-03 10:25:53"
1972129;NULL;NULL;6abca0f8-8939-44f5-ac26-739d4dd69216;47.62346267700195;6.195410251617432;4070;246;1;0;1;2;0;0;1627981204;0;0;"2021-08-03 10:25:58"
