	Timestamp	Quality	Lat	Lon		15,69303892
84	1,62405E+12	4	45,19336267	5,719598267	0,022252558	5976
85	1,62405E+12	6	45,1930633	5,719869419	0,040724255	5993
86	1,62405E+12	4	45,19271253	5,720100986	0,047715637	6024
87	1,62405E+12	4	45,19260616	5,720174188	0,01446946	6007
88	1,62405E+12	4	45,19260616	5,720174188	0	5978
89	1,62405E+12	6	45,19260616	5,720174188	0	6025
90	1,62405E+12	4	45,19260616	5,720174188	0	5913
91	1,62405E+12	4	45,1925626	5,720194746	0,005925666	6039
92	1,62405E+12	6	45,1925626	5,720194746	0	5975
93	1,62405E+12	4	45,19250623	5,720227364	0,007669221	6024
94	1,62405E+12	6	45,19231537	5,720280058	0,025963372	5963
95	1,62405E+12	4	45,19232974	5,719816052	0,001954837	6014
96	1,62405E+12	4	45,19245474	5,719108727	0,017005347	6000
