	RR	Timestamp	SensorContact	errorEstimate	blockerBit	gap
279	863	1,62677E+12	-1	-1	-1	989
280	823	1,62677E+12	-1	-1	-1	990
281	887	1,62677E+12	-1	-1	-1	1020
282	767	1,62677E+12	-1	-1	-1	1980
283	839	1,62677E+12	-1	-1	-1	1021
284	823	1,62677E+12	-1	-1	-1	990
285	871	1,62677E+12	-1	-1	-1	990
286	815	1,62677E+12	-1	-1	-1	0
287	847	1,62677E+12	-1	-1	-1	1020
288	823	1,62677E+12	-1	-1	-1	990
289	815	1,62677E+12	-1	-1	-1	990
290	855	1,62677E+12	-1	-1	-1	1021
291	847	1,62677E+12	-1	-1	-1	989
292	807	1,62677E+12	-1	-1	-1	0
293	879	1,62677E+12	-1	-1	-1	990
294	823	1,62677E+12	-1	-1	-1	1021
295	759	1,62677E+12	-1	-1	-1	989
296	831	1,62677E+12	-1	-1	-1	992
297	815	1,62677E+12	-1	-1	-1	1018
298	879	1,62677E+12	-1	-1	-1	0
299	887	1,62677E+12	-1	-1	-1	990
300	791	1,62677E+12	-1	-1	-1	992
301	799	1,62677E+12	-1	-1	-1	1018
302	815	1,62677E+12	-1	-1	-1	990
303	847	1,62677E+12	-1	-1	-1	991
304	887	1,62677E+12	-1	-1	-1	1019
305	887	1,62677E+12	-1	-1	-1	0
306	807	1,62677E+12	-1	-1	-1	990
307	847	1,62677E+12	-1	-1	-1	995
308	863	1,62677E+12	-1	-1	-1	1045
309	863	1,62677E+12	-1	-1	-1	991
310	887	1,62677E+12	-1	-1	-1	960
311	839	1,62677E+12	-1	-1	-1	1020
312	855	1,62677E+12	-1	-1	-1	0
313	919	1,62677E+12	-1	-1	-1	989
314	823	1,62677E+12	-1	-1	-1	990
315	903	1,62677E+12	-1	-1	-1	1020
316	807	1,62677E+12	-1	-1	-1	990
317	759	1,62677E+12	-1	-1	-1	1088
318	791	1,62677E+12	-1	-1	-1	0
319	855	1,62677E+12	-1	-1	-1	2903
320	815	1,62677E+12	-1	-1	-1	1020
321	839	1,62677E+12	-1	-1	-1	990
322	775	1,62677E+12	-1	-1	-1	0
323	759	1,62677E+12	-1	-1	-1	990
324	807	1,62677E+12	-1	-1	-1	1020
325	775	1,62677E+12	-1	-1	-1	990
326	751	1,62677E+12	-1	-1	-1	990
327	775	1,62677E+12	-1	-1	-1	0
328	823	1,62677E+12	-1	-1	-1	6000
329	815	1,62677E+12	-1	-1	-1	1020
330	839	1,62677E+12	-1	-1	-1	990
331	743	1,62677E+12	-1	-1	-1	990
332	1031	1,62677E+12	-1	-1	-1	1021
333	559	1,62677E+12	-1	-1	-1	0
334	951	1,62677E+12	-1	-1	-1	3989
335	855	1,62677E+12	-1	-1	-1	991
336	815	1,62677E+12	-1	-1	-1	1050
337	831	1,62677E+12	-1	-1	-1	989
338	847	1,62677E+12	-1	-1	-1	960
339	775	1,62677E+12	-1	-1	-1	0
340	807	1,62677E+12	-1	-1	-1	1021
341	631	1,62677E+12	-1	-1	-1	989
342	895	1,62677E+12	-1	-1	-1	3002
343	911	1,62677E+12	-1	-1	-1	0
344	935	1,62677E+12	-1	-1	-1	989
345	863	1,62677E+12	-1	-1	-1	1020
346	911	1,62677E+12	-1	-1	-1	991
