	Timestamp	Quality	Lat	Lon	gap (ms)	distance	test	km/h	0,099803509
107	1,62728E+12	14,29300022	50,6292236	3,0553874	7473	0	-	0	
108	1,62728E+12	14,29300022	50,6292236	3,0553874	4524	0	-	0	
109	1,62728E+12	14,29300022	50,6292236	3,0553874	7493	0	-	0	
110	1,62728E+12	14,29300022	50,6292236	3,0553874	4543	0,002036135	-	0,02040144	
111	1,62728E+12	14,41600037	50,629236	3,0554086	7365	0	-	0	
112	1,62728E+12	14,41600037	50,629236	3,0554086	4603	0,002036135	-	0,02040144	
113	1,62728E+12	14,29300022	50,6292236	3,0553874	7366	0	-	0	
114	1,62728E+12	14,29300022	50,6292236	3,0553874	4616	0,001489002	-	0,014919335	
115	1,62728E+12	13,37100029	50,6292369	3,0553896	7510	0	-	0	
116	1,62728E+12	13,37100029	50,6292369	3,0553896	4507	0,001489002	-	0,014919335	
117	1,62728E+12	14,29300022	50,6292236	3,0553874	7462	0	-	0	
118	1,62728E+12	14,29300022	50,6292236	3,0553874	4538	0	-	0	
119	1,62728E+12	14,29300022	50,6292236	3,0553874	7473	0,023227546	-	0,23273276	
120	1,62728E+12	61,41433716	50,62916884	3,05506961	5199	0,022675828	-	0,227204718	
121	1,62728E+12	14,47099972	50,6292258	3,0553783	8641	0,003643587	-	0,0365076	
122	1,62728E+12	14,06799984	50,6292367	3,055427	2634	0	-	0	
123	1,62728E+12	14,06799984	50,6292367	3,055427	7496	0	-	0	
124	1,62728E+12	14,06799984	50,6292367	3,055427	4556	0	-	0	
125	1,62728E+12	14,06799984	50,6292367	3,055427	7375	0	-	0	
126	1,62728E+12	14,06799984	50,6292367	3,055427	4624	0	-	0	
127	1,62728E+12	14,06799984	50,6292367	3,055427	7423	0,002813034	-	0,028185722	
128	1,62728E+12	15,25	50,6292336	3,0553874	4511	0	-	0	
129	1,62728E+12	15,25	50,6292336	3,0553874	7509	0	-	0	
130	1,62728E+12	15,25	50,6292336	3,0553874	4461	0	-	0	
131	1,62728E+12	15,25	50,6292336	3,0553874	7541	0	-	0	
132	1,62728E+12	15,25	50,6292336	3,0553874	4512	0	-	0	
133	1,62728E+12	15,25	50,6292336	3,0553874	7304	0	-	0	
134	1,62728E+12	15,25	50,6292336	3,0553874	4665	0	-	0	
135	1,62728E+12	15,25	50,6292336	3,0553874	7494	0	-	0	
136	1,62728E+12	15,25	50,6292336	3,0553874	4496	0,001197089	-	0,011994454	
137	1,62728E+12	15,60200024	50,6292242	3,0553791	502264	0	-	0	
138	1,62728E+12	15,60200024	50,6292242	3,0553791	3749	0,00484914	-	0,048586873	
139	1,62728E+12	14,52099991	50,6292345	3,0554459	8091	0	-	0	
140	1,62728E+12	14,52099991	50,6292345	3,0554459	3875	0,00484914	-	0,048586873	
141	1,62728E+12	15,60200024	50,6292242	3,0553791	7527	0	-	0	
142	1,62728E+12	15,60200024	50,6292242	3,0553791	4519	0,00484914	-	0,048586873	
143	1,62728E+12	14,52099991	50,6292345	3,0554459	7337	0	-	0	
144	1,62728E+12	14,52099991	50,6292345	3,0554459	4650	0,00484914	-	0,048586873	
145	1,62728E+12	15,60200024	50,6292242	3,0553791	7442	0	-	0	
146	1,62728E+12	15,60200024	50,6292242	3,0553791	4535	0	-	0	
147	1,62728E+12	15,60200024	50,6292242	3,0553791	7529	0	-	0	
148	1,62728E+12	15,60200024	50,6292242	3,0553791	4483	0	-	0	
149	1,62728E+12	15,60200024	50,6292242	3,0553791	7417	0	-	0	
150	1,62728E+12	15,60200024	50,6292242	3,0553791	4552	0,00484914	-	0,048586873	
151	1,62728E+12	14,52099991	50,6292345	3,0554459	7428	0	-	0	
152	1,62728E+12	14,52099991	50,6292345	3,0554459	4643	0,00484914	-	0,048586873	
153	1,62728E+12	15,60200024	50,6292242	3,0553791	7431	0	-	0	
154	1,62728E+12	15,60200024	50,6292242	3,0553791	4503	0	-	0	
155	1,62728E+12	15,60200024	50,6292242	3,0553791	7542	0	-	0	
156	1,62728E+12	15,60200024	50,6292242	3,0553791	4503	0	-	0	
157	1,62728E+12	15,60200024	50,6292242	3,0553791	7466	0	-	0	
158	1,62728E+12	15,60200024	50,6292242	3,0553791	4488	0,003464813	-	0,034716347	
159	1,62728E+12	15,125	50,6292288	3,0554277	8120	0	-	0	
160	1,62728E+12	15,125	50,6292288	3,0554277	3896	0,003464813	-	0,034716347	
161	1,62728E+12	15,60200024	50,6292242	3,0553791	7415	0	-	0	
162	1,62728E+12	15,60200024	50,6292242	3,0553791	4562	0,003464813	-	0,034716347	
163	1,62728E+12	15,125	50,6292288	3,0554277	7498	0	-	0	
164	1,62728E+12	15,125	50,6292288	3,0554277	4520	0,003898132	-	0,039058062	
165	1,62728E+12	15,33600044	50,6292387	3,0554807	8061	9,49353E-05	-	0,000951222	
166	1,62728E+12	15,33600044	50,6292387	3,0554807	3948	9,49353E-05	-	0,000951222	
167	1,62728E+12	15,33600044	50,6292387	3,0554807	7457	9,49353E-05	-	0,000951222	
168	1,62728E+12	15,33600044	50,6292387	3,0554807	4582	0,002497358	-	0,025022745	
169	1,62728E+12	14,52099991	50,6292345	3,0554459	7384	0	-	0	
170	1,62728E+12	14,52099991	50,6292345	3,0554459	4568	0,00484914	-	0,048586873	
171	1,62728E+12	15,60200024	50,6292242	3,0553791	7394	0	-	0	
172	1,62728E+12	15,60200024	50,6292242	3,0553791	4606	0,007345072	-	0,073595331	
173	1,62728E+12	15,33600044	50,6292387	3,0554807	7390	9,49353E-05	-	0,000951222	
174	1,62728E+12	15,33600044	50,6292387	3,0554807	4614	9,49353E-05	-	0,000951222	
175	1,62728E+12	15,33600044	50,6292387	3,0554807	7429	9,49353E-05	-	0,000951222	
176	1,62728E+12	15,33600044	50,6292387	3,0554807	4552	0,007345072	-	0,073595331	
177	1,62728E+12	15,60200024	50,6292242	3,0553791	7360	0	-	0	
178	1,62728E+12	15,60200024	50,6292242	3,0553791	4629	0,001197089	-	0,011994454	
179	1,62728E+12	15,25	50,6292336	3,0553874	7473	0	-	0	
