	RR	Timestamp	SensorContact	errorEstimate	blockerBit		54,10%
338	855	1,62541E+12	-1	-1	-1	1020	
339	879	1,62541E+12	-1	-1	-1	9001	
340	1007	1,62541E+12	-1	-1	-1	3991	
341	775	1,62541E+12	-1	-1	-1	6989	
342	815	1,62541E+12	-1	-1	-1	8999	
343	711	1,62541E+12	-1	-1	-1	4022	
344	743	1,62541E+12	-1	-1	-1	989	
345	863	1,62541E+12	-1	-1	-1	2010	
346	1255	1,62541E+12	-1	-1	-1	990	
347	1087	1,62541E+12	-1	-1	-1	990	
348	759	1,62541E+12	-1	-1	-1	3000	
349	711	1,62541E+12	-1	-1	-1	5011	
350	679	1,62541E+12	-1	-1	-1	988	
351	743	1,62541E+12	-1	-1	-1	3001	
352	655	1,62541E+12	-1	-1	-1	2999	
353	1007	1,62541E+12	-1	-1	-1	8011	
354	679	1,62541E+12	-1	-1	-1	1001	
355	735	1,62541E+12	-1	-1	-1	2001	
356	743	1,62541E+12	-1	-1	-1	988	
357	695	1,62541E+12	-1	-1	-1	1019	
358	927	1,62541E+12	-1	-1	-1	1981	
359	719	1,62541E+12	-1	-1	-1	1020	
360	671	1,62541E+12	-1	-1	-1	989	
361	775	1,62541E+12	-1	-1	-1	5011	
362	639	1,62541E+12	-1	-1	-1	991	
363	695	1,62541E+12	-1	-1	-1	2009	
364	743	1,62541E+12	-1	-1	-1	3991	
365	823	1,62541E+12	-1	-1	-1	2008	
366	783	1,62541E+12	-1	-1	-1	1980	
367	831	1,62541E+12	-1	-1	-1	1021	
368	799	1,62541E+12	-1	-1	-1	3000	
369	975	1,62541E+12	-1	-1	-1	6991	
370	575	1,62541E+12	-1	-1	-1	12989	
371	895	1,62541E+12	-1	-1	-1	1020	
372	679	1,62541E+12	-1	-1	-1	991	
373	655	1,62541E+12	-1	-1	-1	0	
374	783	1,62541E+12	-1	-1	-1	1020	
375	1159	1,62541E+12	-1	-1	-1	990	
376	639	1,62541E+12	-1	-1	-1	1979	
377	623	1,62541E+12	-1	-1	-1	1021	
378	783	1,62541E+12	-1	-1	-1	988	
379	599	1,62541E+12	-1	-1	-1	0	
380	599	1,62541E+12	-1	-1	-1	2014	
381	959	1,62541E+12	-1	-1	-1	5968	
382	1151	1,62541E+12	-1	-1	-1	5010	
383	847	1,62541E+12	-1	-1	-1	989	
384	1319	1,62541E+12	-1	-1	-1	4021	
385	951	1,62541E+12	-1	-1	-1	7980	
386	1175	1,62541E+12	-1	-1	-1	1019	
387	519	1,62541E+12	-1	-1	-1	7980	
388	951	1,62541E+12	-1	-1	-1	1021	
389	719	1,62541E+12	-1	-1	-1	990	
390	719	1,62541E+12	-1	-1	-1	2010	
391	775	1,62541E+12	-1	-1	-1	1979	
392	927	1,62541E+12	-1	-1	-1	1022	
393	655	1,62541E+12	-1	-1	-1	992	
394	743	1,62541E+12	-1	-1	-1	986	
395	719	1,62541E+12	-1	-1	-1	0	
396	703	1,62541E+12	-1	-1	-1	6000	
397	863	1,62541E+12	-1	-1	-1	0	
398	663	1,62541E+12	-1	-1	-1	1019	
399	783	1,62541E+12	-1	-1	-1	993	
400	743	1,62541E+12	-1	-1	-1	991	
401	791	1,62541E+12	-1	-1	-1	2008	
402	663	1,62541E+12	-1	-1	-1	7020	
403	935	1,62541E+12	-1	-1	-1	4979	
404	695	1,62541E+12	-1	-1	-1	991	
405	767	1,62541E+12	-1	-1	-1	0	
406	687	1,62541E+12	-1	-1	-1	1019	
407	551	1,62541E+12	-1	-1	-1	3001	
408	751	1,62541E+12	-1	-1	-1	1980	
409	791	1,62541E+12	-1	-1	-1	1020	
410	743	1,62541E+12	-1	-1	-1	1980	
411	599	1,62541E+12	-1	-1	-1	2010	
412	479	1,62541E+12	-1	-1	-1	1	
413	711	1,62541E+12	-1	-1	-1	2998	
414	471	1,62541E+12	-1	-1	-1	993	
415	791	1,62541E+12	-1	-1	-1	1018	
416	711	1,62541E+12	-1	-1	-1	0	
417	791	1,62541E+12	-1	-1	-1	991	
418	583	1,62541E+12	-1	-1	-1	2009	
419	551	1,62541E+12	-1	-1	-1	991	
420	751	1,62541E+12	-1	-1	-1	2010	
421	599	1,62541E+12	-1	-1	-1	1978	
422	543	1,62541E+12	-1	-1	-1	0	
423	679	1,62541E+12	-1	-1	-1	4021	
424	583	1,62541E+12	-1	-1	-1	991	
425	487	1,62541E+12	-1	-1	-1	2999	
426	711	1,62541E+12	-1	-1	-1	993	
427	767	1,62541E+12	-1	-1	-1	1017	
428	663	1,62541E+12	-1	-1	-1	6990	
429	975	1,62541E+12	-1	-1	-1	3989	
430	559	1,62541E+12	-1	-1	-1	3002	
431	1031	1,62541E+12	-1	-1	-1	2999	
432	863	1,62541E+12	-1	-1	-1	3001	
433	807	1,62541E+12	-1	-1	-1	1020	
434	679	1,62541E+12	-1	-1	-1	0	
435	847	1,62541E+12	-1	-1	-1	989	
436	679	1,62541E+12	-1	-1	-1	2041	
437	623	1,62541E+12	-1	-1	-1	2938	
438	1063	1,62541E+12	-1	-1	-1	2011	
439	1111	1,62541E+12	-1	-1	-1	989	
440	743	1,62541E+12	-1	-1	-1	1021	
441	767	1,62541E+12	-1	-1	-1	6990	
442	863	1,62541E+12	-1	-1	-1	990	
443	695	1,62541E+12	-1	-1	-1	2999	
444	687	1,62541E+12	-1	-1	-1	1021	
445	703	1,62541E+12	-1	-1	-1	12992	
446	695	1,62541E+12	-1	-1	-1	988	
447	655	1,62541E+12	-1	-1	-1	1050	
448	735	1,62541E+12	-1	-1	-1	963	
449	759	1,62541E+12	-1	-1	-1	0	
450	751	1,62541E+12	-1	-1	-1	2007	
451	951	1,62541E+12	-1	-1	-1	992	
452	711	1,62541E+12	-1	-1	-1	988	
453	655	1,62541E+12	-1	-1	-1	1020	
454	703	1,62541E+12	-1	-1	-1	0	
455	695	1,62541E+12	-1	-1	-1	992	
456	703	1,62541E+12	-1	-1	-1	988	
457	671	1,62541E+12	-1	-1	-1	0	
458	679	1,62541E+12	-1	-1	-1	1020	
459	727	1,62541E+12	-1	-1	-1	992	
460	687	1,62541E+12	-1	-1	-1	0	
461	719	1,62541E+12	-1	-1	-1	990	
462	727	1,62541E+12	-1	-1	-1	1020	
463	751	1,62541E+12	-1	-1	-1	991	
464	735	1,62541E+12	-1	-1	-1	0	
465	735	1,62541E+12	-1	-1	-1	986	
466	719	1,62541E+12	-1	-1	-1	1021	
467	735	1,62541E+12	-1	-1	-1	991	
468	719	1,62541E+12	-1	-1	-1	0	
469	767	1,62541E+12	-1	-1	-1	990	
470	703	1,62541E+12	-1	-1	-1	1021	
471	727	1,62541E+12	-1	-1	-1	0	
472	727	1,62541E+12	-1	-1	-1	988	
473	695	1,62541E+12	-1	-1	-1	990	
474	783	1,62541E+12	-1	-1	-1	1021	
475	743	1,62541E+12	-1	-1	-1	1980	
476	783	1,62541E+12	-1	-1	-1	1021	
477	743	1,62541E+12	-1	-1	-1	0	
478	711	1,62541E+12	-1	-1	-1	989	
479	759	1,62541E+12	-1	-1	-1	990	
480	743	1,62541E+12	-1	-1	-1	1051	
481	775	1,62541E+12	-1	-1	-1	0	
482	695	1,62541E+12	-1	-1	-1	960	
483	759	1,62541E+12	-1	-1	-1	989	
484	743	1,62541E+12	-1	-1	-1	1022	
485	743	1,62541E+12	-1	-1	-1	0	
486	759	1,62541E+12	-1	-1	-1	989	
487	759	1,62541E+12	-1	-1	-1	990	
488	751	1,62541E+12	-1	-1	-1	1049	
489	719	1,62541E+12	-1	-1	-1	1949	
490	743	1,62541E+12	-1	-1	-1	1021	
491	775	1,62541E+12	-1	-1	-1	0	
492	695	1,62541E+12	-1	-1	-1	990	
493	719	1,62541E+12	-1	-1	-1	991	
494	663	1,62541E+12	-1	-1	-1	0	
495	703	1,62541E+12	-1	-1	-1	1018	
496	711	1,62541E+12	-1	-1	-1	989	
497	807	1,62541E+12	-1	-1	-1	993	
498	703	1,62541E+12	-1	-1	-1	0	
499	687	1,62541E+12	-1	-1	-1	988	
500	703	1,62541E+12	-1	-1	-1	1021	
501	743	1,62541E+12	-1	-1	-1	0	
502	703	1,62541E+12	-1	-1	-1	990	
503	719	1,62541E+12	-1	-1	-1	989	
504	727	1,62541E+12	-1	-1	-1	1022	
505	719	1,62541E+12	-1	-1	-1	0	
506	775	1,62541E+12	-1	-1	-1	990	
507	703	1,62541E+12	-1	-1	-1	988	
508	719	1,62541E+12	-1	-1	-1	1022	
509	727	1,62541E+12	-1	-1	-1	0	
510	735	1,62541E+12	-1	-1	-1	1020	
511	727	1,62541E+12	-1	-1	-1	989	
512	679	1,62541E+12	-1	-1	-1	0	
513	711	1,62541E+12	-1	-1	-1	991	
514	751	1,62541E+12	-1	-1	-1	989	
515	679	1,62541E+12	-1	-1	-1	992	
516	703	1,62541E+12	-1	-1	-1	0	
517	703	1,62541E+12	-1	-1	-1	1019	
518	687	1,62541E+12	-1	-1	-1	989	
519	719	1,62541E+12	-1	-1	-1	0	
520	703	1,62541E+12	-1	-1	-1	991	
521	711	1,62541E+12	-1	-1	-1	1020	
522	695	1,62541E+12	-1	-1	-1	0	
523	711	1,62541E+12	-1	-1	-1	990	
524	815	1,62541E+12	-1	-1	-1	988	
525	695	1,62541E+12	-1	-1	-1	1022	
526	703	1,62541E+12	-1	-1	-1	0	
527	711	1,62541E+12	-1	-1	-1	990	
528	735	1,62541E+12	-1	-1	-1	988	
529	735	1,62541E+12	-1	-1	-1	1021	
530	751	1,62541E+12	-1	-1	-1	0	
531	687	1,62541E+12	-1	-1	-1	991	
532	751	1,62541E+12	-1	-1	-1	990	
533	735	1,62541E+12	-1	-1	-1	1020	
534	727	1,62541E+12	-1	-1	-1	1979	
535	727	1,62541E+12	-1	-1	-1	1020	
536	719	1,62541E+12	-1	-1	-1	991	
537	727	1,62541E+12	-1	-1	-1	991	
538	727	1,62541E+12	-1	-1	-1	0	
539	751	1,62541E+12	-1	-1	-1	1018	
540	799	1,62541E+12	-1	-1	-1	989	
541	783	1,62541E+12	-1	-1	-1	993	
542	759	1,62541E+12	-1	-1	-1	0	
543	743	1,62541E+12	-1	-1	-1	1019	
544	759	1,62541E+12	-1	-1	-1	989	
545	783	1,62541E+12	-1	-1	-1	993	
546	759	1,62541E+12	-1	-1	-1	1017	
547	759	1,62541E+12	-1	-1	-1	0	
548	775	1,62541E+12	-1	-1	-1	990	
549	791	1,62541E+12	-1	-1	-1	991	
550	791	1,62541E+12	-1	-1	-1	1021	
551	759	1,62541E+12	-1	-1	-1	0	
552	743	1,62541E+12	-1	-1	-1	1018	
553	783	1,62541E+12	-1	-1	-1	990	
554	783	1,62541E+12	-1	-1	-1	990	
555	791	1,62541E+12	-1	-1	-1	990	
556	759	1,62541E+12	-1	-1	-1	0	
557	775	1,62541E+12	-1	-1	-1	989	
558	783	1,62541E+12	-1	-1	-1	1021	
559	783	1,62541E+12	-1	-1	-1	991	
560	767	1,62541E+12	-1	-1	-1	0	
561	751	1,62541E+12	-1	-1	-1	989	
562	783	1,62541E+12	-1	-1	-1	1021	
563	759	1,62541E+12	-1	-1	-1	990	
564	775	1,62541E+12	-1	-1	-1	0	
565	775	1,62541E+12	-1	-1	-1	989	
566	727	1,62541E+12	-1	-1	-1	1021	
