	RR	Timestamp	écart		moyenne	min	max	mode	écart-type	durée	somme RR	max écart tmsp	écart-type tmsp	25e centile	50e centile	75e centile	RR/durée	durée (min)	état	deconnexion
200	594	1623388547507	0	11/06/2021 07:15																
201	558	1623388548495	988	11/06/2021 07:15																
202	539	1623388548495	0	11/06/2021 07:15																
203	581	1623388549458	963	11/06/2021 07:15																
204	563	1623388550447	989	11/06/2021 07:15																
205	637	1623388550447	0	11/06/2021 07:15																
206	491	1623388551437	990	11/06/2021 07:15																
207	593	1623388551437	0	11/06/2021 07:15																
208	580	1623388552396	959	11/06/2021 07:15																
209	534	1623388552396	0	11/06/2021 07:15																
210	534	1623388553385	989	11/06/2021 07:15																
211	578	1623388554348	963	11/06/2021 07:15																
212	1117	1623388555335	987	11/06/2021 07:15																
213	1136	1623388556325	990	11/06/2021 07:15																
214	743	1623388557285	960	11/06/2021 07:15																
215	870	1623388558276	991	11/06/2021 07:15																
216	518	1623388558276	0	11/06/2021 07:15																
217	614	1623388559265	989	11/06/2021 07:15																
218	537	1623388559265	0	11/06/2021 07:15																
219	570	1623388560225	960	11/06/2021 07:16																
220	560	1623388560225	0	11/06/2021 07:16																
221	541	1623388561215	990	11/06/2021 07:16																
222	575	1623388562205	990	11/06/2021 07:16																
223	573	1623388562205	0	11/06/2021 07:16																
224	590	1623388563166	961	11/06/2021 07:16																
225	503	1623388563166	0	11/06/2021 07:16																
226	588	1623388564155	989	11/06/2021 07:16																
227	552	1623388564155	0	11/06/2021 07:16																
228	539	1623388565115	960	11/06/2021 07:16																
229	519	1623388565115	0	11/06/2021 07:16																
230	580	1623388566105	990	11/06/2021 07:16																
231	614	1623388567095	990	11/06/2021 07:16																
232	569	1623388567095	0	11/06/2021 07:16																
233	614	1623388568056	961	11/06/2021 07:16																
234	500	1623388568056	0	11/06/2021 07:16																
235	546	1623388569047	991	11/06/2021 07:16																
236	557	1623388570007	960	11/06/2021 07:16																
237	486	1623388570007	0	11/06/2021 07:16																
238	606	1623388570997	990	11/06/2021 07:16																
239	584	1623388570997	0	11/06/2021 07:16																
240	555	1623388571989	992	11/06/2021 07:16																
241	642	1623388572947	958	11/06/2021 07:16																
242	431	1623388572947	0	11/06/2021 07:16																
243	633	1623388573937	990	11/06/2021 07:16																
244	559	1623388573937	0	11/06/2021 07:16																
245	540	1623388574927	990	11/06/2021 07:16																
246	552	1623388574927	0	11/06/2021 07:16																
247	523	1623388575888	961	11/06/2021 07:16																
248	549	1623388575888	0	11/06/2021 07:16																
249	500	1623388576877	989	11/06/2021 07:16																
250	631	1623388577864	987	11/06/2021 07:16																
251	532	1623388577864	0	11/06/2021 07:16																
252	607	1623388578827	963	11/06/2021 07:16																
253	563	1623388578827	0	11/06/2021 07:16																
254	492	1623388579818	991	11/06/2021 07:16																
255	650	1623388579818	0	11/06/2021 07:16																
256	1168	1623388581766	1948	11/06/2021 07:16																
257	555	1623388581766	0	11/06/2021 07:16																
258	634	1623388582756	990	11/06/2021 07:16																
259	592	1623388582756	0	11/06/2021 07:16																
260	605	1623388583717	961	11/06/2021 07:16																
261	561	1623388584706	989	11/06/2021 07:16																
262	601	1623388584706	0	11/06/2021 07:16																
263	632	1623388585666	960	11/06/2021 07:16																
264	552	1623388585666	0	11/06/2021 07:16																
265	628	1623388586656	990	11/06/2021 07:16																
266	1228	1623388588607	1951	11/06/2021 07:16																
267	1148	1623388588607	0	11/06/2021 07:16																
268	593	1623388589595	988	11/06/2021 07:16																
269	535	1623388590556	961	11/06/2021 07:16																
270	631	1623388590556	0	11/06/2021 07:16																
271	596	1623388591544	988	11/06/2021 07:16																
272	630	1623388592536	992	11/06/2021 07:16																
273	1148	1623388593495	959	11/06/2021 07:16																
274	585	1623388593495	0	11/06/2021 07:16																
275	571	1623388594486	991	11/06/2021 07:16																
276	620	1623388595448	962	11/06/2021 07:16																
277	755	1623388595448	0	11/06/2021 07:16																
278	954	1623388596436	988	11/06/2021 07:16																
279	720	1623388597426	990	11/06/2021 07:16																
280	622	1623388598385	959	11/06/2021 07:16																
281	1118	1623388599377	992	11/06/2021 07:16																
282	567	1623388599377	0	11/06/2021 07:16																
283	643	1623388600364	987	11/06/2021 07:16																
284	565	1623388601325	961	11/06/2021 07:16																
285	1177	1623388602315	990	11/06/2021 07:16																
286	582	1623388602315	0	11/06/2021 07:16																
287	603	1623388603276	961	11/06/2021 07:16																
288	625	1623388604264	988	11/06/2021 07:16																
289	567	1623388604264	0	11/06/2021 07:16																
290	558	1623388605254	990	11/06/2021 07:16																
291	619	1623388606214	960	11/06/2021 07:16																
292	610	1623388606214	0	11/06/2021 07:16																
293	612	1623388607204	990	11/06/2021 07:16																
294	523	1623388607204	0	11/06/2021 07:16																
295	581	1623388608164	960	11/06/2021 07:16																
296	630	1623388608164	0	11/06/2021 07:16																
297	592	1623388609154	990	11/06/2021 07:16																
298	584	1623388610144	990	11/06/2021 07:16																
299	518	1623388610144	0	11/06/2021 07:16																
300	1223	1623388612094	1950	11/06/2021 07:16																
